iter	Passed	Remaining
426	2692	460
427	2698	453
428	2703	447
429	2709	441
430	2715	434
431	2721	428
432	2726	421
433	2731	415
434	2736	408
435	2740	402
436	2745	395
437	2750	389
438	2758	383
439	2764	377
440	2769	370
441	2775	364
442	2780	357
443	2785	351
444	2790	344
445	2794	338
446	2799	331
447	2805	325
448	2811	319
449	2816	312
450	2822	306
451	2827	300
452	2831	293
453	2836	287
454	2843	281
455	2853	275
456	2869	269
457	2889	264
458	2899	259
459	2906	252
460	2912	246
461	2919	240
462	2926	233
463	2932	227
464	2937	221
465	2944	214
466	2950	208
467	2955	202
468	2962	195
469	2969	189
470	2974	183
471	2979	176
472	2985	170
473	2991	164
474	2997	157
475	3003	151
476	3009	145
477	3014	138
478	3021	132
479	3028	126
480	3036	119
481	3043	113
482	3049	107
483	3054	100
484	3059	94
485	3065	88
486	3070	81
487	3075	75
488	3082	69
489	3087	63
490	3092	56
491	3098	50
492	3106	44
493	3115	37
494	3120	31
495	3126	25
496	3131	18
497	3136	12
498	3140	6
499	3146	0
