iter	MultiClass
262	0.06368605458
263	0.06338445707
264	0.06320580223
265	0.06298624982
266	0.06267580922
267	0.06238905767
268	0.0621935061
269	0.06205564889
270	0.06165616541
271	0.06137732389
272	0.06116967708
273	0.06077145879
274	0.06070620898
275	0.06056322445
276	0.0602076494
277	0.0599210277
278	0.05971831503
279	0.05947202755
280	0.05923825907
281	0.0589175583
282	0.05856600309
283	0.05845594074
284	0.05819516823
285	0.05802273311
286	0.05782505642
287	0.05756457326
288	0.0573910293
289	0.05697555917
290	0.05683556095
291	0.0566135853
292	0.05653140554
293	0.05623739227
294	0.05596084265
295	0.0557312204
296	0.05550079625
297	0.05507268385
298	0.05492383623
299	0.05472738895
300	0.05464270862
301	0.05454111327
302	0.05426293082
303	0.05417141802
304	0.05368454683
305	0.05357537187
306	0.0532984472
307	0.05315757912
308	0.05307362727
309	0.05286793898
310	0.05272747808
311	0.05248394086
312	0.05237412551
313	0.0522915521
314	0.05216815258
315	0.0520102892
316	0.0517842444
317	0.05169416063
318	0.0516133314
319	0.05148678752
320	0.05134754845
321	0.05115480737
322	0.05103192008
323	0.05063052526
324	0.05049803451
325	0.05045147782
326	0.05021955546
327	0.05015778633
328	0.04975560457
329	0.04954959554
330	0.04943244912
331	0.04932129138
332	0.04905079741
333	0.04885928845
334	0.04864302765
335	0.04850639963
336	0.04826933566
337	0.04811797037
338	0.04786796136
339	0.04764208221
340	0.04748501615
341	0.0472829868
342	0.04720980324
343	0.04708089746
344	0.04685311768
345	0.04661892064
346	0.04649195288
347	0.0464489322
348	0.04623067584
349	0.04607808985
350	0.04588971258
351	0.04574683543
352	0.0455278316
353	0.04543937587
354	0.04531910688
355	0.04517136775
356	0.04509472924
357	0.04486924866
358	0.04475554254
359	0.04465612602
360	0.04453321527
361	0.04443979303
362	0.04431882808
363	0.04419540132
364	0.04378906562
365	0.04363952081
366	0.04357224873
367	0.04343673176
368	0.04313857859
369	0.0429829271
370	0.04281158667
371	0.04264741575
372	0.04254754897
373	0.0423323847
374	0.04223084181
375	0.04214276404
376	0.04205741904
377	0.0419095289
378	0.04171223336
379	0.04156188627
380	0.04146424027
381	0.04127467742
382	0.04102175027
383	0.04090731161
384	0.04080566278
385	0.04068209481
386	0.04059805473
387	0.04050237669
388	0.04039286816
389	0.04027105755
390	0.04015287873
391	0.04008847724
392	0.03995443469
393	0.03987449189
394	0.03969306673
395	0.03957202171
396	0.03953528092
397	0.03944315082
398	0.03918446993
399	0.03904598146
400	0.03886778271
401	0.03877866023
402	0.03862416658
403	0.03853295538
404	0.03847259943
405	0.0384119621
406	0.03816730372
407	0.03808087211
408	0.03799600391
409	0.0378485573
410	0.03757013283
411	0.03748624628
412	0.03739865278
413	0.03734579436
414	0.03726625092
415	0.03723266694
416	0.03711506953
417	0.03699976558
418	0.036927024
419	0.03681761571
420	0.03676086019
421	0.03671754529
422	0.03657271013
423	0.03648819336
424	0.03643974793
425	0.03634828818
426	0.03618841075
427	0.03604387057
428	0.03593665686
429	0.03584439686
430	0.03566215448
431	0.03555463833
432	0.03544507066
433	0.03535456192
434	0.03531281391
435	0.03525642015
436	0.03516986868
437	0.03512115646
438	0.03505575774
439	0.03494986464
440	0.03478529475
441	0.0346460753
442	0.03455226068
443	0.03451072697
444	0.03446614413
445	0.03442762208
446	0.0343745772
447	0.03431513356
448	0.03426663957
449	0.03414315833
450	0.03411160696
451	0.03406494895
452	0.03393720072
453	0.03387680256
454	0.0338286832
455	0.03379375379
456	0.0337167358
457	0.03360972564
458	0.03336765804
459	0.03328453394
460	0.03323436782
461	0.03319022265
462	0.03311597635
463	0.03304766992
464	0.0329211418
465	0.03281441424
466	0.03265972413
467	0.03252538305
468	0.03242876395
469	0.03237450093
470	0.03230728506
471	0.03221897107
472	0.03215555414
473	0.03207734035
474	0.03202049416
475	0.03195922078
476	0.0318822839
477	0.03180736648
478	0.0316884829
479	0.03160915838
480	0.03151454782
481	0.0314495517
482	0.03141655306
483	0.03133916773
484	0.03130538843
485	0.03104934366
486	0.03097172876
487	0.03091323336
488	0.03084912168
489	0.030795416
490	0.03072567409
491	0.03064253986
492	0.03056381285
493	0.03047922257
494	0.03040497295
495	0.03011853071
496	0.03006169954
497	0.02998623689
498	0.02994354262
499	0.02983556918
